									Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count
303	true	Empty	Ras-related protein Rab-8A OS=Dictyostelium discoideum GN=rab8A PE=3 SV=1	sp|P20790|RAB8A_DICDI		23 kDa	true	unknown	2	3	1	0	1	3	4	0	0	4	0	0	0	0	4	3
304	true	Empty	Serine--pyruvate aminotransferase OS=Dictyostelium discoideum GN=agxt PE=3 SV=1	sp|Q54GT6|SPYA_DICDI		45 kDa		unknown	4	5	11	2	7	5	11	0	0	10	6	0	0	0	7	8
305	true	Empty	Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI		23 kDa	true	unknown	5	5	5	1	7	5	7	0	0	5	5	3	0	1	8	7
306	true	Empty	Probable transaldolase OS=Dictyostelium discoideum GN=tal PE=3 SV=1	sp|Q54UP4|TALDO_DICDI		36 kDa	true	unknown	7	7	8	2	7	7	10	0	0	11	7	1	0	0	8	4
307	true	Empty	60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI		14 kDa	true	unknown	6	6	5	1	5	2	1	0	0	9	0	4	3	5	6	3
308	true	Empty	Ras-related protein Rab-1D OS=Dictyostelium discoideum GN=rab1D PE=1 SV=1	sp|Q54NU2|RAB1D_DICDI		23 kDa	true	unknown	2	2	0	0	1	2	2	0	0	4	0	0	0	4	3	1
309	true	Empty	cAMP-binding protein 1 OS=Dictyostelium discoideum GN=capA-1 PE=2 SV=2	sp|P19198|CAP1_DICDI		35 kDa	true	unknown	2	2	1	1	3	3	7	0	0	4	0	1	0	2	5	4
310	true	Empty	Protein recA (Recombinase A).	sp|P0A7G6|RECA_ECOLI		38 kDa	true	unknown	0	0	0	5	0	7	0	2	0	0	5	11	6	1	8	2
311	true	Empty	Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI		44 kDa		unknown	3	5	1	1	6	6	9	0	0	6	2	3	0	0	9	8
312	true	Empty	60S ribosomal protein L15 OS=Dictyostelium discoideum GN=rpl15-1 PE=1 SV=1	sp|Q86K01|RL15_DICDI		24 kDa		unknown	6	6	2	0	4	2	4	0	0	4	0	3	0	2	3	3
313	true	Empty	Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1	sp|Q54YD4|SYIC_DICDI		123 kDa	true	unknown	7	7	10	0	10	4	1	2	0	6	6	2	0	0	2	6
314	true	Empty	Adenylosuccinate synthetase OS=Dictyostelium discoideum GN=purA PE=1 SV=1	sp|P21900|PURA_DICDI		47 kDa	true	unknown	0	5	0	2	4	8	19	0	1	3	3	0	0	0	12	11
315	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI		34 kDa	true	unknown	5	3	2	0	10	4	13	0	0	10	2	4	0	0	7	5
316	true	Empty	D-3-phosphoglycerate dehydrogenase OS=Dictyostelium discoideum GN=serA PE=1 SV=1	sp|Q54UH8|SERA_DICDI		45 kDa		unknown	3	2	4	0	14	7	16	2	0	9	7	0	0	0	4	7
317	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0286341 PE=4 SV=1	tr|Q54M03|Q54M03_DICDI		38 kDa	true	unknown	6	7	4	0	7	3	8	0	0	5	0	1	0	0	4	5
318	true	Empty	Inorganic pyrophosphatase OS=Dictyostelium discoideum GN=ppa1 PE=1 SV=1	sp|Q54PV8|IPYR_DICDI		31 kDa	true	unknown	5	5	2	0	5	4	9	0	0	6	1	1	0	0	9	6
319	true	Empty	Actin-related protein 2/3 complex subunit 1 OS=Dictyostelium discoideum GN=arcA PE=1 SV=1	sp|O96622|ARPC1_DICDI		41 kDa	true	unknown	3	5	1	1	3	3	5	0	0	7	3	1	1	1	7	5
320	true	Empty	DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI		132 kDa	true	unknown	4	4	6	0	0	8	2	8	1	1	5	7	0	5	1	18
321	true	Empty	Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1	tr|Q54JV0|Q54JV0_DICDI		183 kDa	true	unknown	1	1	2	0	1	20	1	5	0	16	8	8	0	6	5	9
322	true	Empty	26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI		57 kDa	true	unknown	2	4	3	0	7	4	4	7	0	21	10	12	2	0	1	4
323	true	Empty	Vacuolar sorting protein 35 OS=Dictyostelium discoideum GN=vps35 PE=3 SV=1	sp|Q54C24|VPS35_DICDI		89 kDa	true	unknown	7	9	1	0	5	1	13	4	0	9	2	4	0	0	1	6
324	true	Empty	Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI		66 kDa	true	unknown	8	10	8	0	5	2	12	0	0	4	1	1	0	11	1	7
325	true	Empty	60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI		18 kDa	true	unknown	5	5	1	0	1	1	1	0	0	6	2	1	1	4	6	7
326	true	Empty	Nck-associated protein 1 homolog OS=Dictyostelium discoideum GN=napA PE=1 SV=1	sp|Q869Q3|NAPA_DICDI		134 kDa	true	unknown	3	3	8	1	1	2	4	4	1	15	9	2	0	2	3	12
327	true	Empty	Cortexillin-2 OS=Dictyostelium discoideum GN=ctxB PE=1 SV=1	sp|Q550R2|CTXB_DICDI		50 kDa	true	unknown	1	1	8	0	14	7	5	4	0	9	6	7	1	2	9	8
328	true	Empty	Fumarate hydratase, mitochondrial OS=Dictyostelium discoideum GN=fumH PE=3 SV=1	sp|Q54VA2|FUMH_DICDI		53 kDa	true	unknown	7	5	8	1	4	2	12	2	0	6	2	3	0	1	6	4
329	true	Empty	40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI		16 kDa		unknown	9	9	2	2	8	1	0	0	0	11	1	3	1	3	3	4
330	true	Empty	Proliferation-associated protein A OS=Dictyostelium discoideum GN=prlA PE=2 SV=1	sp|Q1ZXG4|PRLA_DICDI		42 kDa		unknown	2	3	2	0	4	4	17	0	0	4	2	3	0	0	5	8
331	true	Empty	Thioredoxin reductase OS=Dictyostelium discoideum GN=trrA PE=3 SV=1	sp|Q54UU8|TRXB_DICDI		34 kDa	true	unknown	4	6	4	0	5	4	12	0	0	10	5	4	2	1	11	9
332	true	Empty	60S ribosomal protein L9 OS=Dictyostelium discoideum GN=rpl9 PE=1 SV=2	sp|Q54XI5|RL9_DICDI		21 kDa	true	unknown	3	3	5	0	3	1	10	0	0	12	6	3	0	1	7	7
333	true	Empty	Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum GN=DDB_G0274781 PE=3 SV=1	sp|Q86A72|Y4781_DICDI		25 kDa	true	unknown	13	13	0	0	8	2	0	0	0	7	0	5	0	8	7	2
334	true	Empty	Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI		73 kDa	true	unknown	6	13	10	1	2	0	18	4	0	3	6	3	0	0	0	6
335	true	Empty	Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI		37 kDa		unknown	8	9	12	1	7	6	13	0	0	11	5	2	0	0	11	5
336	true	Empty	60S ribosomal protein L18 OS=Dictyostelium discoideum GN=rpl18 PE=3 SV=1	sp|Q54VZ4|RL18_DICDI		21 kDa	true	unknown	6	6	2	0	7	2	4	0	0	6	0	0	0	2	5	6
337	true	Empty	60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI		16 kDa		unknown	5	5	5	1	4	1	1	0	0	11	3	1	1	3	3	2
338	true	Empty	Protein pirA OS=Dictyostelium discoideum GN=pirA PE=1 SV=1	sp|Q6UK63|PIRA_DICDI		153 kDa	true	unknown	1	1	12	0	4	11	4	1	0	8	4	0	0	2	7	13
339	true	Empty	Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI		87 kDa	true	unknown	4	7	10	0	3	11	15	4	3	10	6	3	0	0	4	6
340	true	Empty	Enoyl-CoA hydratase OS=Dictyostelium discoideum GN=DDB_G0293354 PE=3 SV=1	tr|Q54BX7|Q54BX7_DICDI		33 kDa	true	unknown	11	14	0	0	3	0	3	0	0	7	0	0	0	5	2	1
341	true	Empty	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI		51 kDa	true	unknown	1	1	6	0	0	3	1	1	0	2	14	15	1	16	6	1
342	true	Empty	Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI		51 kDa	true	unknown	1	2	12	0	12	9	6	6	0	7	10	5	0	2	8	11
343	true	Empty	40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI		15 kDa	true	unknown	6	6	8	1	7	0	1	0	0	8	0	2	2	4	7	6
344	true	Empty	Probable ATP-dependent RNA helicase ddx6 OS=Dictyostelium discoideum GN=ddx6 PE=3 SV=1	sp|Q54E49|DDX6_DICDI		48 kDa	true	unknown	4	8	3	1	8	3	3	0	0	6	0	1	0	2	7	5
345	true	Empty	Hisactophilin-2 OS=Dictyostelium discoideum GN=hatB PE=1 SV=2	sp|P42526|HATB_DICDI		14 kDa	true	unknown	3	3	3	1	1	0	1	0	0	2	0	0	0	0	1	1
346	true	Empty	60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI		22 kDa	true	unknown	4	4	3	0	7	2	3	0	0	6	0	3	0	2	6	3
347	true	Empty	Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI		44 kDa	true	unknown	0	6	5	0	10	9	9	2	0	6	7	1	0	0	8	10
348	true	Empty	N-acetyltransferase, non-catalytic subunit OS=Dictyostelium discoideum GN=DDB_0191837 PE=4 SV=1	tr|Q54C34|Q54C34_DICDI		108 kDa	true	unknown	7	13	7	0	2	8	6	12	1	10	2	4	0	11	7	11
349	true	Empty	cAMP-regulated M3R protein OS=Dictyostelium discoideum GN=prtB PE=2 SV=4	sp|P11872|M3R_DICDI		58 kDa	true	unknown	1	2	4	0	8	7	12	1	0	9	5	3	0	0	4	6
350	true	Empty	Bifunctional purine synthesis protein purC/E OS=Dictyostelium discoideum GN=purC/E PE=1 SV=1	sp|Q54QE4|PURCE_DICDI		109 kDa	true	unknown	2	4	3	0	10	6	3	0	0	14	3	2	0	0	9	13
351	true	Empty	40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI		17 kDa	true	unknown	7	7	5	2	1	0	0	0	0	6	2	1	1	3	2	4
352	true	Empty	Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI		20 kDa	true	unknown	7	7	5	1	5	3	7	0	0	6	4	1	0	3	5	3
353	true	Empty	Aldehyde-alcohol dehydrogenase [Includes	sp|P0A9Q7|ADHE_ECOLI		96 kDa		unknown	2	4	7	0	0	6	0	4	0	0	23	9	3	15	4	8
354	true	Empty	Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI		100 kDa	true	unknown	5	8	2	0	0	1	0	3	0	4	20	11	0	21	6	4
355	true	Empty	Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI		24 kDa	true	unknown	7	7	4	0	6	3	5	0	0	2	2	6	5	4	5	5
356	true	Empty	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1	sp|Q869S7|SUCB2_DICDI		46 kDa		unknown	0	4	0	0	13	6	12	0	0	4	1	6	0	0	10	8
357	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI		57 kDa	true	unknown	1	4	7	0	5	1	8	1	1	6	3	1	0	1	9	5
358	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189295 PE=4 SV=1	tr|Q54F09|Q54F09_DICDI		118 kDa	true	unknown	17	17	0	0	3	6	0	0	0	7	0	4	0	9	9	15
359	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	tr|Q54I73|Q54I73_DICDI		172 kDa	true	unknown	1	1	0	1	2	12	3	0	0	3	4	5	0	0	7	8
360	true	Empty	40S ribosomal protein S10 OS=Dictyostelium discoideum GN=rps10 PE=1 SV=3	sp|O77082|RS10_DICDI		18 kDa	true	unknown	5	5	5	0	4	2	0	0	0	6	2	1	1	3	3	4
361	true	Empty	40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI		16 kDa	true	unknown	8	8	3	0	1	0	1	0	0	11	4	2	0	4	6	5
362	true	Empty	Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI		88 kDa	true	unknown	4	5	11	0	8	6	18	7	2	7	3	5	0	0	8	7
363	true	Empty	Putative rho GDP-dissociation inhibitor 1 OS=Dictyostelium discoideum GN=rdiA PE=1 SV=1	sp|Q95UQ1|GDIR1_DICDI		22 kDa		unknown	0	0	5	0	7	3	6	0	0	8	4	2	0	0	7	5
364	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI		35 kDa	true	unknown	7	8	0	0	5	6	0	0	0	10	0	5	1	0	7	8
365	true	Empty	60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI		15 kDa		unknown	5	5	1	0	3	1	0	0	0	9	0	0	0	2	3	3
366	true	Empty	Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI		53 kDa	true	unknown	1	3	9	1	3	1	8	2	3	7	4	3	0	1	3	6
367	true	Empty	Glucosamine-6-phosphate isomerase OS=Dictyostelium discoideum GN=nagB1 PE=4 SV=1	tr|Q54M58|Q54M58_DICDI		83 kDa	true	unknown	4	10	10	0	3	5	10	3	0	7	3	2	0	0	8	6
368	true	Empty	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1	sp|Q54I90|NDUV1_DICDI		53 kDa	true	unknown	3	3	4	4	3	4	7	0	1	15	2	3	0	15	4	6
369	true	Empty	Myosin-I heavy chain OS=Dictyostelium discoideum GN=myoI PE=1 SV=1	sp|Q9U1M8|MYOI_DICDI		268 kDa	true	unknown	0	1	9	0	8	5	7	1	0	5	8	0	0	0	3	7
370	true	Empty	T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI		59 kDa	true	unknown	1	4	0	0	8	1	0	4	0	1	10	15	1	0	4	4
371	true	Empty	Probable ATP-dependent RNA helicase ddx3 OS=Dictyostelium discoideum GN=ddx3 PE=3 SV=1	sp|Q54QS3|DDX3_DICDI		79 kDa	true	unknown	2	3	9	0	6	4	6	1	0	11	4	1	1	6	7	3
372	true	Empty	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=pdhC PE=2 SV=2	sp|P36413|ODP2_DICDI		69 kDa	true	unknown	5	10	1	0	3	8	3	0	0	1	8	3	1	4	1	13
373	true	Empty	Chaperone protein htpG (Heat shock prote	sp|P0A6Z3|HTPG_ECOLI		71 kDa	true	unknown	3	3	11	0	0	3	1	0	0	0	19	7	3	11	2	2
374	true	Empty	Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	sp|Q54JP5|OAT_DICDI		46 kDa	true	unknown	0	6	5	0	11	8	13	1	0	4	2	3	0	0	9	9
375	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI		35 kDa		unknown	4	6	3	0	5	3	8	0	0	9	1	1	0	1	7	8
376	true	Empty	V-type proton ATPase subunit C OS=Dictyostelium discoideum GN=vatC PE=2 SV=1	sp|P54648|VATC_DICDI		42 kDa	true	unknown	10	9	0	0	13	5	1	0	0	7	5	4	1	0	6	9
377	true	Empty	IPT/TIG domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0295757 PE=4 SV=1	rtr|C7FZX2|C7FZX2_DICDI		376 kDa	true	unknown	1	2	1	0	1	1	1	0	0	3	2	1	1	1	1	1
378	true	Empty	Formin-A OS=Dictyostelium discoideum GN=forA PE=1 SV=1	sp|Q54WH2|FORA_DICDI		135 kDa	true	unknown	2	2	1	0	5	11	1	1	0	18	3	4	0	5	7	8
379	true	Empty	Drebrin-like protein OS=Dictyostelium discoideum GN=abpE-1 PE=2 SV=1	sp|Q557J6|DBNL_DICDI		55 kDa		unknown	3	3	4	0	4	3	0	0	0	4	0	1	0	0	6	6
380	true	Empty	Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI		77 kDa	true	unknown	1	3	14	5	0	7	1	2	0	1	14	10	0	10	2	0
381	true	Empty	40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI		14 kDa	true	unknown	7	7	4	1	3	0	1	0	0	8	0	0	0	3	3	6
382	true	Empty	Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI		63 kDa	true	unknown	4	8	4	0	13	3	7	2	0	10	9	4	0	0	0	14
383	true	Empty	Vacuolin-A OS=Dictyostelium discoideum GN=vacA PE=1 SV=1	sp|O15706|VACA_DICDI		66 kDa	true	unknown	13	17	0	0	5	0	0	4	0	16	0	8	0	0	0	4
384	true	Empty	T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI		59 kDa	true	unknown	0	1	0	0	5	5	0	6	0	4	13	20	4	0	0	6
385	true	Empty	40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI		14 kDa		unknown	6	6	8	2	3	1	0	0	0	7	0	4	2	6	7	5
386	true	Empty	Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI		53 kDa	true	unknown	3	4	5	0	13	4	4	2	0	9	4	6	0	1	12	8
387	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI		106 kDa		unknown	5	12	6	0	6	7	8	4	0	5	2	1	0	0	6	10
388	true	Empty	Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI		114 kDa	true	unknown	3	6	8	0	7	4	0	0	0	5	1	3	0	0	3	8
389	true	Empty	Apoptosis-inducing factor 1, mitochondrial OS=Dictyostelium discoideum GN=aif PE=2 SV=1	sp|Q9GRX6|AIFM1_DICDI		60 kDa	true	unknown	1	1	11	1	5	5	13	4	1	5	2	2	0	0	6	3
390	true	Empty	1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1	sp|Q555Q9|GLGB_DICDI		79 kDa	true	unknown	2	7	9	0	4	4	8	4	0	5	6	1	0	0	0	5
391	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217938 PE=4 SV=1	tr|Q86K67|Q86K67_DICDI		129 kDa	true	unknown	8	14	2	0	3	5	1	0	0	5	0	3	0	5	8	8
392	true	Empty	Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI		85 kDa	true	unknown	0	0	0	0	0	6	1	3	0	3	8	10	13	10	2	2
393	true	Empty	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial OS=Dictyostelium discoideum GN=odhA PE=3 SV=1	sp|Q54VG0|DHTK1_DICDI		102 kDa	true	unknown	9	11	5	0	6	4	4	4	0	2	2	3	0	0	4	10
394	true	Empty	Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI		27 kDa		unknown	8	8	3	0	5	0	9	0	0	10	1	2	0	1	8	4
395	true	Empty	Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	tr|Q58A42|Q58A42_DICDI		69 kDa		unknown	0	2	1	0	0	2	9	1	0	6	6	0	0	2	8	16
396	true	Empty	Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI		28 kDa		unknown	5	7	4	0	4	3	6	0	0	5	2	1	0	0	4	5
397	true	Empty	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=mccA PE=3 SV=1	sp|Q54KE6|MCCA_DICDI		77 kDa	true	unknown	5	12	7	0	1	3	8	4	1	5	4	3	0	0	0	14
398	true	Empty	Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	tr|Q54FY3|Q54FY3_DICDI		54 kDa	true	unknown	0	1	4	0	1	1	7	0	0	4	3	1	1	0	4	3
399	true	Empty	Phenylalanyl-tRNA synthetase beta chain	rsp|P07395|SYFB_ECOLI		87 kDa	true	unknown	2	2	0	0	0	0	2	0	0	2	0	0	0	1	1	1
400	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI		34 kDa	true	unknown	6	8	2	0	3	3	5	0	0	10	4	3	0	0	3	0
401	true	Empty	Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI		51 kDa		unknown	7	7	4	3	7	5	8	5	3	5	2	4	0	0	6	7
402	true	Empty	PDZ domain-containing protein OS=Dictyostelium discoideum GN=sort1 PE=4 SV=1	tr|Q54GL5|Q54GL5_DICDI		84 kDa	true	unknown	1	3	8	1	3	9	13	2	0	4	2	2	0	2	6	9
403	true	Empty	F-actin-capping protein subunit beta OS=Dictyostelium discoideum GN=acpA PE=1 SV=1	sp|P13021|CAPZB_DICDI		31 kDa		unknown	6	6	1	0	7	3	7	0	0	7	1	0	0	2	7	7
404	true	Empty	40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI		17 kDa	true	unknown	5	5	4	2	2	0	1	0	0	4	3	2	1	1	4	7
405	true	Empty	26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI		36 kDa		unknown	3	6	2	0	8	4	2	0	0	17	5	2	2	0	7	5
406	true	Empty	Glucose-6-phosphate isomerase OS=Dictyostelium discoideum GN=gpi PE=3 SV=1	sp|Q5V9E9|G6PI_DICDI		63 kDa	true	unknown	1	5	10	0	8	0	14	4	2	5	3	4	0	0	0	6
407	true	Empty	Vacuolar proton translocating ATPase 100 kDa subunit OS=Dictyostelium discoideum GN=vatM PE=1 SV=2	sp|Q54E04|VATM_DICDI		93 kDa		unknown	4	4	0	0	4	8	8	0	0	3	5	0	0	0	1	9
408	true	Empty	Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI		30 kDa	true	unknown	6	6	3	0	4	1	5	0	0	7	1	2	1	0	3	3
409	true	Empty	Actin-related protein 2/3 complex subunit 3 OS=Dictyostelium discoideum GN=arcC PE=1 SV=1	sp|O96624|ARPC3_DICDI		20 kDa	true	unknown	4	4	3	1	3	1	7	0	0	4	4	1	0	0	3	3
410	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190011 PE=4 SV=1	tr|Q55ET7|Q55ET7_DICDI		44 kDa		unknown	2	3	7	0	6	5	16	0	1	4	3	0	0	0	6	7
411	true	Empty	Probable polyketide synthase 45 OS=Dictyostelium discoideum GN=pks45 PE=3 SV=1	sp|Q54B49|PKS45_DICDI		350 kDa	true	unknown	0	0	14	0	1	11	5	0	0	10	1	0	0	0	7	8
412	true	Empty	Cullin-associated NEDD8-dissociated protein 1 OS=Dictyostelium discoideum GN=cand1 PE=3 SV=1	sp|Q86KD1|CAND1_DICDI		139 kDa	true	unknown	2	2	0	0	9	3	3	0	0	4	3	1	0	0	3	9
413	true	Empty	Probable glutaminyl-tRNA synthetase OS=Dictyostelium discoideum GN=glnS PE=2 SV=2	sp|P14325|SYQ_DICDI		88 kDa	true	unknown	1	6	2	0	5	4	9	0	0	5	3	0	0	1	3	11
414	true	Empty	Cytochrome c1, heme protein, mitochondrial OS=Dictyostelium discoideum GN=cyc1 PE=3 SV=1	sp|Q54D07|CY1_DICDI		31 kDa		unknown	3	3	0	1	6	5	8	0	0	5	3	2	1	0	2	8
415	true	Empty	Adenylate kinase 2, mitochondrial OS=Dictyostelium discoideum GN=adkA PE=3 SV=1	sp|Q54QJ9|KAD2_DICDI		31 kDa		unknown	8	8	1	0	6	5	4	0	0	5	0	1	0	0	3	6
416	true	Empty	Protein KIAA0664 homolog OS=Dictyostelium discoideum GN=cluA PE=1 SV=2	sp|O15818|K0664_DICDI		149 kDa	true	unknown	1	1	6	0	5	11	5	1	0	7	5	2	0	1	5	11
417	true	Empty	60S ribosomal protein L27a OS=Dictyostelium discoideum GN=rpl27a PE=3 SV=1	sp|P48160|RL27A_DICDI		16 kDa	true	unknown	6	6	5	1	3	1	1	0	0	6	1	4	1	3	3	4
418	true	Empty	Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI		82 kDa	true	unknown	3	7	3	0	3	13	5	1	0	1	9	6	6	0	0	8
419	true	Empty	Probable valyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=valS1 PE=3 SV=1	sp|Q86KU2|SYVC_DICDI		123 kDa	true	unknown	5	5	6	0	4	6	0	3	0	6	4	1	0	0	3	6
420	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI		26 kDa	true	unknown	8	8	5	0	9	3	2	0	0	6	2	2	0	1	5	5
