long_id	uniprot	mw	is_grouping	spectral_count	bait	condition
Interferon alpha/beta receptor 2 (Fragment) OS=Homo sapiens GN=IFNAR2 PE=4 SV=1	REVtr|C9JCU0|C9JCU0_HUMAN (+3)	26	NA	0	Galphai	AluFl
TRIO and F-actin-binding protein OS=Homo sapiens GN=TRIOBP PE=4 SV=1	tr|F8W6V6|F8W6V6_HUMAN (+4)	74	NA	0	Galphai	AluFl
Cell division protein ftsA OS=Escherichia coli GN=ftsA PE=3 SV=1	tr|C3TQK7|C3TQK7_ECOLX	45	TRUE	0	Galphai	AluFl
Coronin OS=Homo sapiens GN=CORO7 PE=2 SV=1	tr|B3KSY4|B3KSY4_HUMAN (+1)	77	TRUE	6	Galphai	AluFl
26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=2 SV=1	tr|A8K3Z3|A8K3Z3_HUMAN	45	NA	13	Galphai	AluFl
Putative aminotransferase OS=Escherichia coli GN=b2290 PE=4 SV=1	tr|C3T2A7|C3T2A7_ECOLX	46	NA	0	Galphai	AluFl
Elongation factor 1-alpha 1 (Fragment) OS=Homo sapiens GN=EEF1A1 PE=4 SV=1	tr|A6PW80|A6PW80_HUMAN	12	NA	0	Galphai	AluFl
F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=2 SV=1	tr|B4DG50|B4DG50_HUMAN (+2)	20	NA	14	Galphai	AluFl
Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=4 SV=2	tr|A8MY36|A8MY36_HUMAN (+4)	141	TRUE	4	Galphai	AluFl
Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=3 SV=1	tr|F5H737|F5H737_HUMAN	45	TRUE	15	Galphai	AluFl
Extracellular signal-regulated kinase-2 splice variant OS=Homo sapiens GN=MAPK1 PE=2 SV=1	tr|A8CZ64|A8CZ64_HUMAN (+5)	36	NA	7	Galphai	AluFl
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli GN=ispG PE=3 SV=1	tr|C3SZW7|C3SZW7_ECOLX	41	NA	0	Galphai	AluFl
Nebulin OS=Homo sapiens GN=NEB PE=4 SV=1	REVtr|F8WCL5|F8WCL5_HUMAN (+2)	987	NA	0	Galphai	AluFl
Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=4 SV=2	tr|A6NIW2|A6NIW2_HUMAN (+3)	238	NA	3	Galphai	AluFl
Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=4 SV=1	tr|E7ERW7|E7ERW7_HUMAN (+1)	153	TRUE	0	Galphai	AluFl
Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=2 SV=1	tr|B7ZL00|B7ZL00_HUMAN (+4)	128	NA	11	Galphai	AluFl
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=3 SV=1	tr|E7EQR6|E7EQR6_HUMAN (+3)	44	NA	20	Galphai	AluFl
RAS p21 protein activator 2, isoform CRA_b OS=Homo sapiens GN=RASA2 PE=4 SV=1	tr|G3V0F9|G3V0F9_HUMAN	97	NA	0	Galphai	AluFl
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=4 SV=1	tr|E9PCY7|E9PCY7_HUMAN (+6)	47	NA	6	Galphai	AluFl
Nesprin-2 OS=Homo sapiens GN=SYNE2 PE=4 SV=1	tr|G3V5X4|G3V5X4_HUMAN (+1)	788	NA	0	Galphai	AluFl
DNA-directed RNA polymerase OS=Homo sapiens GN=POLR2B PE=3 SV=2	tr|C9J2Y9|C9J2Y9_HUMAN (+1)	133	NA	2	Galphai	AluFl
Cysteine sulfinate desulfinase OS=Escherichia coli GN=csdA PE=3 SV=1	REVtr|E2QQQ6|E2QQQ6_ECOLX	43	NA	2	Galphai	AluFl
Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens GN=IMPDH2 PE=3 SV=1	tr|H0Y4R1|H0Y4R1_HUMAN	51	NA	17	Galphai	AluFl
Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=4 SV=1	tr|E7EX17|E7EX17_HUMAN (+7)	70	NA	4	Galphai	AluFl
V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=2 SV=1	tr|B7Z1R5|B7Z1R5_HUMAN	65	TRUE	11	Galphai	AluFl
Outer membrane protein A OS=Escherichia coli GN=ompA PE=3 SV=1	tr|E2QJG1|E2QJG1_ECOLX	37	NA	0	Galphai	AluFl
UDP-glucose 6-dehydrogenase OS=Escherichia coli GN=ugd PE=3 SV=1	tr|E2QNQ3|E2QNQ3_ECOLX	44	NA	0	Galphai	AluFl
RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=4 SV=1	tr|E7ETR0|E7ETR0_HUMAN	35	NA	9	Galphai	AluFl
Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=4 SV=1	tr|H0YIN9|H0YIN9_HUMAN (+1)	22	NA	0	Galphai	AluFl
60 kDa chaperonin OS=Escherichia coli GN=mopA PE=2 SV=1	tr|Q548M1|Q548M1_ECOLX	57	NA	0	Galphai	AluFl
Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens GN=HNRNPD PE=4 SV=1	tr|D6RAF8|D6RAF8_HUMAN (+7)	23	NA	6	Galphai	AluFl
Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=3 SV=1	tr|G8JLD5|G8JLD5_HUMAN (+2)	80	NA	2	Galphai	AluFl
Lactose operon repressor OS=Escherichia coli GN=lacI PE=4 SV=1	tr|E2QGA5|E2QGA5_ECOLX	39	NA	0	Galphai	AluFl
Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=3 SV=1	tr|E9PBF6|E9PBF6_HUMAN (+2)	45	TRUE	0	Galphai	AluFl
40S ribosomal protein SA (Fragment) OS=Homo sapiens GN=RPSA PE=3 SV=1	tr|C9J9K3|C9J9K3_HUMAN (+5)	30	NA	3	Galphai	AluFl
Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=3 SV=1	tr|E7EWW9|E7EWW9_HUMAN	28	TRUE	11	Galphai	AluFl
Serine/threonine-protein phosphatase OS=Homo sapiens GN=PPP1CA PE=3 SV=1	tr|A6NNR3|A6NNR3_HUMAN (+5)	33	NA	6	Galphai	AluFl
Protein disulfide isomerase family A, member 3, isoform CRA_b OS=Homo sapiens GN=PDIA3 PE=3 SV=1	tr|G5EA52|G5EA52_HUMAN	55	TRUE	13	Galphai	AluFl
SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=2 SV=1	tr|B7Z6E8|B7Z6E8_HUMAN	44	NA	8	Galphai	AluFl
Actin-related protein 2/3 complex subunit 3 (Fragment) OS=Homo sapiens GN=ARPC3 PE=4 SV=1	tr|C9JZD1|C9JZD1_HUMAN (+1)	12	TRUE	12	Galphai	AluFl
26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=4 SV=1	tr|C9IZE4|C9IZE4_HUMAN (+3)	52	NA	10	Galphai	AluFl
Heat shock protein HSP 90-beta (Fragment) OS=Homo sapiens GN=HSP90AB1 PE=4 SV=1	tr|H0Y6E4|H0Y6E4_HUMAN	17	NA	10	Galphai	AluFl
Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=3 SV=1	tr|F5H3I4|F5H3I4_HUMAN (+1)	35	NA	3	Galphai	AluFl
Mucin-5B OS=Homo sapiens GN=MUC5B PE=4 SV=1	tr|E9PBJ0|E9PBJ0_HUMAN	597	NA	4	Galphai	AluFl
DOCK10.2 OS=Homo sapiens GN=DOCK10.2 PE=2 SV=2	tr|B3FL70|B3FL70_HUMAN (+2)	249	TRUE	3	Galphai	AluFl
CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1 PE=4 SV=1	tr|F5H0N7|F5H0N7_HUMAN (+1)	116	NA	3	Galphai	AluFl
Chromosome partition protein MukB OS=Escherichia coli GN=mukB PE=3 SV=1	tr|E2QJD5|E2QJD5_ECOLX	170	NA	0	Galphai	AluFl
14-3-3 protein theta (Fragment) OS=Homo sapiens GN=YWHAQ PE=4 SV=1	tr|E9PG15|E9PG15_HUMAN (+1)	17	TRUE	4	Galphai	AluFl
SH3 domain-binding protein 1 OS=Homo sapiens GN=SH3BP1 PE=4 SV=1	tr|F5GZA8|F5GZA8_HUMAN	55	NA	6	Galphai	AluFl
Glucose-6-phosphate isomerase OS=Escherichia coli GN=pgi PE=3 SV=1	tr|E2QJ55|E2QJ55_ECOLX	62	NA	10	Galphai	AluFl
Signal recognition particle protein OS=Escherichia coli GN=ffh PE=3 SV=1	tr|C3SYN7|C3SYN7_ECOLX	50	TRUE	0	Galphai	AluFl
Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli GN=zntA PE=3 SV=1	tr|E2QFX3|E2QFX3_ECOLX	77	NA	0	Galphai	AluFl
AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=2 SV=1	tr|B3KXW5|B3KXW5_HUMAN (+4)	94	NA	10	Galphai	AluFl
MLL cleavage product C180 OS=Homo sapiens GN=MLL PE=4 SV=1	REVtr|E9PQG7|E9PQG7_HUMAN (+2)	432	NA	0	Galphai	AluFl
Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=4 SV=1	tr|F5H564|F5H564_HUMAN (+1)	134	NA	4	Galphai	AluFl
General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=4 SV=1	tr|F5GYR8|F5GYR8_HUMAN (+3)	109	NA	12	Galphai	AluFl
Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=3 SV=1	tr|E9PRY8|E9PRY8_HUMAN (+22)	77	NA	6	Galphai	AluFl
DNA gyrase subunit B OS=Escherichia coli GN=gyrB PE=3 SV=1	tr|C3SLN3|C3SLN3_ECOLX	90	NA	0	Galphai	AluFl
Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=4 SV=1	tr|E9PBG7|E9PBG7_HUMAN (+2)	58	NA	7	Galphai	AluFl
ALOX5 protein OS=Homo sapiens GN=ALOX5 PE=2 SV=1	tr|B7ZLS0|B7ZLS0_HUMAN	72	NA	3	Galphai	AluFl
HCF N-terminal chain 5 OS=Homo sapiens GN=HCFC1 PE=4 SV=2	tr|A6NEM2|A6NEM2_HUMAN (+3)	213	NA	3	Galphai	AluFl
Calponin-2 OS=Homo sapiens GN=CNN2 PE=2 SV=1	tr|B4DDF4|B4DDF4_HUMAN (+2)	33	NA	7	Galphai	AluFl
Annexin OS=Homo sapiens GN=ANXA4 PE=2 SV=1	tr|B4DDF9|B4DDF9_HUMAN	27	NA	5	Galphai	AluFl
AP-1 complex subunit beta-1 (Fragment) OS=Homo sapiens GN=AP1B1 PE=4 SV=1	tr|C9J1E7|C9J1E7_HUMAN	65	TRUE	5	Galphai	AluFl
30S ribosomal protein S3 OS=Escherichia coli GN=rpsC PE=3 SV=1	tr|C3SQX2|C3SQX2_ECOLX	26	NA	2	Galphai	AluFl
HCG2002594, isoform CRA_c OS=Homo sapiens GN=SEPT5 PE=3 SV=1	tr|G3XAH0|G3XAH0_HUMAN (+4)	44	NA	8	Galphai	AluFl
Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=2 SV=1	tr|B4DDM6|B4DDM6_HUMAN	28	NA	8	Galphai	AluFl
Keratin-associated protein 2-1 OS=Homo sapiens GN=KRTAP2-1 PE=4 SV=1	tr|F5H1T9|F5H1T9_HUMAN (+1)	13	NA	3	Galphai	AluFl
Ena/VASP-like protein OS=Homo sapiens GN=EVL PE=2 SV=1	tr|B7Z3I5|B7Z3I5_HUMAN	42	NA	6	Galphai	AluFl
Alstrom syndrome protein 1 OS=Homo sapiens GN=ALMS1 PE=4 SV=1	REVtr|B8ZZJ3|B8ZZJ3_HUMAN (+1)	456	TRUE	0	Galphai	AluFl
C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=3 SV=1	tr|F5H2F4|F5H2F4_HUMAN (+2)	111	NA	7	Galphai	AluFl
D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli GN=epd PE=3 SV=1	tr|E2QDR1|E2QDR1_ECOLX	37	TRUE	0	Galphai	AluFl
Phosphoribosyl pyrophosphate synthetase 1 OS=Homo sapiens GN=PRPS1 PE=3 SV=1	tr|B1ALA9|B1ALA9_HUMAN (+1)	24	NA	4	Galphai	AluFl
AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 PE=4 SV=1	tr|E7ENJ6|E7ENJ6_HUMAN	43	NA	6	Galphai	AluFl
Guanine nucleotide exchange factor DBS (Fragment) OS=Homo sapiens GN=MCF2L PE=4 SV=1	tr|H0Y4M6|H0Y4M6_HUMAN (+1)	36	NA	0	Galphai	AluFl
Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=4 SV=1	tr|E9PAV3|E9PAV3_HUMAN (+5)	205	NA	6	Galphai	AluFl
Probable ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=4 SV=1	tr|F5GZS0|F5GZS0_HUMAN (+1)	113	NA	0	Galphai	AluFl
4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli GN=dapB PE=3 SV=1	tr|E2QEW0|E2QEW0_ECOLX	29	NA	0	Galphai	AluFl
Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens GN=ANP32E PE=4 SV=1	tr|E9PPH5|E9PPH5_HUMAN (+4)	13	TRUE	4	Galphai	AluFl
Transaldolase OS=Homo sapiens GN=TALDO1 PE=3 SV=1	tr|F2Z393|F2Z393_HUMAN (+1)	35	NA	6	Galphai	AluFl
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=2 SV=1	tr|B4DPX4|B4DPX4_HUMAN (+1)	35	NA	7	Galphai	AluFl
Ras GTPase-activating-like protein IQGAP1 (Fragment) OS=Homo sapiens GN=IQGAP1 PE=4 SV=1	tr|H0YKA5|H0YKA5_HUMAN	5	NA	2	Galphai	AluFl
Kinectin OS=Homo sapiens GN=KTN1 PE=4 SV=1	REVtr|G3V4Y7|G3V4Y7_HUMAN (+4)	69	NA	0	Galphai	AluFl
Nebulin OS=Homo sapiens GN=NEB PE=4 SV=1	tr|F8WCL5|F8WCL5_HUMAN (+2)	987	NA	0	Galphai	AluFl
ATP-binding component of serine protease OS=Escherichia coli GN=clpA PE=3 SV=1	tr|C3TGN7|C3TGN7_ECOLX	84	TRUE	0	Galphai	AluFl
Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=2 SV=1	tr|B4DLC0|B4DLC0_HUMAN (+12)	32	NA	6	Galphai	AluFl
Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=4 SV=1	tr|E7EWI9|E7EWI9_HUMAN	34	NA	3	Galphai	AluFl
50S ribosomal protein L4 OS=Escherichia coli GN=rplD PE=3 SV=1	tr|C3SQU7|C3SQU7_ECOLX	22	NA	0	Galphai	AluFl
Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=4 SV=1	tr|F5H223|F5H223_HUMAN (+1)	42	NA	10	Galphai	AluFl
Annexin OS=Homo sapiens GN=ANXA6 PE=3 SV=1	tr|E9PGK1|E9PGK1_HUMAN (+11)	72	NA	0	Galphai	AluFl
Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=4 SV=1	tr|F8WE04|F8WE04_HUMAN	20	NA	2	Galphai	AluFl
Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens GN=G6PD PE=3 SV=1	tr|E7EM57|E7EM57_HUMAN (+2)	37	NA	8	Galphai	AluFl
Coiled-coil domain-containing protein 88B OS=Homo sapiens GN=CCDC88B PE=1 SV=1	sp|A6NC98|CC88B_HUMAN (+5)	165	NA	7	Galphai	AluFl
Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=4 SV=1	tr|D6RD18|D6RD18_HUMAN (+2)	30	NA	6	Galphai	AluFl
Polyribonucleotide nucleotidyltransferase OS=Escherichia coli GN=pnp PE=3 SV=1	tr|E2QEJ9|E2QEJ9_ECOLX	77	TRUE	0	Galphai	AluFl
Tyrosine-protein kinase Fes/Fps OS=Homo sapiens GN=FES PE=3 SV=1	tr|E7ENM8|E7ENM8_HUMAN	77	NA	6	Galphai	AluFl
Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=4 SV=1	tr|E9PAU2|E9PAU2_HUMAN	80	NA	0	Galphai	AluFl
Uncharacterized protein OS=Homo sapiens PE=4 SV=1	tr|F8W810|F8W810_HUMAN	51	NA	3	Galphai	AluFl
26S protease regulatory subunit 10B (Fragment) OS=Homo sapiens GN=PSMC6 PE=4 SV=1	tr|H0YJC0|H0YJC0_HUMAN	30	NA	3	Galphai	AluFl
T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=4 SV=1	tr|E7ENZ3|E7ENZ3_HUMAN (+3)	54	NA	7	Galphai	AluFl
Formate acetyltransferase 1 OS=Escherichia coli GN=pflB PE=3 SV=1	tr|E2QJB4|E2QJB4_ECOLX (+2)	85	NA	0	Galphai	AluFl
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=4 SV=1	tr|F5H3X9|F5H3X9_HUMAN (+1)	59	TRUE	14	Galphai	AluFl
Septin-11 OS=Homo sapiens GN=SEPT11 PE=3 SV=1	tr|D6RER5|D6RER5_HUMAN (+11)	50	TRUE	30	Galphai	AluFl
Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH77|B1AH77_HUMAN (+2)	17	NA	9	Galphai	AluFl
Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=4 SV=1	tr|D6RG15|D6RG15_HUMAN	29	NA	9	Galphai	AluFl
Archain 1, isoform CRA_a OS=Homo sapiens GN=ARCN1 PE=4 SV=1	tr|B0YIW6|B0YIW6_HUMAN (+2)	62	NA	10	Galphai	AluFl
ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=4 SV=1	tr|D6R9I9|D6R9I9_HUMAN (+2)	47	NA	15	Galphai	AluFl
Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=4 SV=1	REVtr|E7EP74|E7EP74_HUMAN (+4)	377	NA	0	Galphai	AluFl
Remodeling and spacing factor 1 (Fragment) OS=Homo sapiens GN=RSF1 PE=4 SV=1	REVtr|H0YCN2|H0YCN2_HUMAN (+1)	91	NA	0	Galphai	AluFl
Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=4 SV=1	tr|F6QR24|F6QR24_HUMAN	157	NA	0	Galphai	AluFl
AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=4 SV=1	tr|E5RJ68|E5RJ68_HUMAN	116	NA	10	Galphai	AluFl
V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens GN=ATP6V1B2 PE=4 SV=1	tr|H0YC04|H0YC04_HUMAN	21	NA	10	Galphai	AluFl
COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=4 SV=1	tr|D6RAX7|D6RAX7_HUMAN (+4)	48	NA	7	Galphai	AluFl
Chaperone protein DnaK OS=Escherichia coli GN=dnaK PE=3 SV=1	tr|C3TRK2|C3TRK2_ECOLX	69	TRUE	0	Galphai	AluFl
Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP7 PE=2 SV=1	tr|B7Z815|B7Z815_HUMAN (+5)	126	NA	5	Galphai	AluFl
Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=4 SV=1	tr|F8VV40|F8VV40_HUMAN	67	NA	5	Galphai	AluFl
Coatomer subunit beta (Fragment) OS=Homo sapiens GN=COPB1 PE=4 SV=1	tr|E9PP73|E9PP73_HUMAN	56	TRUE	7	Galphai	AluFl
50S ribosomal protein L13 OS=Escherichia coli GN=rplM PE=3 SV=1	tr|C3SRX7|C3SRX7_ECOLX	16	TRUE	0	Galphai	AluFl
Beta-parvin OS=Homo sapiens GN=PARVB PE=4 SV=1	tr|B0QYM8|B0QYM8_HUMAN	38	NA	9	Galphai	AluFl
ATP synthase subunit alpha OS=Escherichia coli GN=atpA PE=3 SV=1	tr|C3SL97|C3SL97_ECOLX	55	NA	0	Galphai	AluFl
LIM and senescent cell antigen-like-containing domain protein 2 OS=Homo sapiens GN=LIMS2 PE=4 SV=1	tr|F5H6E6|F5H6E6_HUMAN (+1)	41	NA	0	Galphai	AluFl
Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=2 SV=1	tr|B4DU58|B4DU58_HUMAN (+2)	36	NA	6	Galphai	AluFl
Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=4 SV=1	tr|A8MV37|A8MV37_HUMAN (+3)	34	NA	0	Galphai	AluFl
50S ribosomal protein L2 OS=Escherichia coli GN=rplB PE=3 SV=1	tr|C3SQV7|C3SQV7_ECOLX	30	NA	0	Galphai	AluFl
Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens GN=LRBA PE=4 SV=1	tr|E9PEM5|E9PEM5_HUMAN (+4)	287	NA	4	Galphai	AluFl
Elongation factor G OS=Escherichia coli GN=fusA PE=3 SV=1	tr|C3SQS7|C3SQS7_ECOLX	78	NA	0	Galphai	AluFl
ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli GN=hflB PE=3 SV=1	tr|C3SSK2|C3SSK2_ECOLX	71	NA	0	Galphai	AluFl
ATP-binding component of transport system for maltose OS=Escherichia coli GN=malK PE=4 SV=1	tr|C3SHQ2|C3SHQ2_ECOLX	41	TRUE	0	Galphai	AluFl
Septin-2 OS=Homo sapiens GN=SEPT2 PE=3 SV=1	tr|B5MCX3|B5MCX3_HUMAN (+1)	37	NA	8	Galphai	AluFl
Glycerol kinase OS=Escherichia coli GN=glpK PE=3 SV=1	tr|E2QIV3|E2QIV3_ECOLX	56	TRUE	0	Galphai	AluFl
Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=3 SV=1	tr|B1ALC0|B1ALC0_HUMAN	15	TRUE	6	Galphai	AluFl
Zyxin (Fragment) OS=Homo sapiens GN=ZYX PE=4 SV=1	tr|H0Y2Y8|H0Y2Y8_HUMAN (+1)	58	NA	4	Galphai	AluFl
Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=4 SV=1	tr|F5H2M7|F5H2M7_HUMAN (+3)	305	NA	4	Galphai	AluFl
Albumin, isoform CRA_k OS=Homo sapiens GN=ALB PE=4 SV=1	tr|C9JKR2|C9JKR2_HUMAN (+3)	47	NA	6	Galphai	AluFl
Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=4 SV=1	tr|E7EU13|E7EU13_HUMAN (+3)	135	TRUE	2	Galphai	AluFl
Eukaryotic translation initiation factor 2 subunit 1 (Fragment) OS=Homo sapiens GN=EIF2S1 PE=4 SV=1	tr|G3V4T5|G3V4T5_HUMAN (+1)	31	NA	2	Galphai	AluFl
ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli GN=clpX PE=3 SV=1	tr|C3TLS7|C3TLS7_ECOLX	46	NA	0	Galphai	AluFl
Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=4 SV=1	tr|G3XAD8|G3XAD8_HUMAN (+9)	68	NA	8	Galphai	AluFl
Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=3 SV=1	tr|E7ERI3|E7ERI3_HUMAN (+1)	70	NA	7	Galphai	AluFl
Bifunctional protein HldE OS=Escherichia coli GN=rfae PE=3 SV=1	tr|E2QE78|E2QE78_ECOLX	51	NA	0	Galphai	AluFl
Cell division protein FtsZ OS=Escherichia coli GN=ftsZ PE=3 SV=1	tr|C3TQK2|C3TQK2_ECOLX	40	NA	0	Galphai	AluFl
HTH-type transcriptional regulator cysB OS=Escherichia coli GN=cysB PE=4 SV=1	tr|C3TC57|C3TC57_ECOLX	36	TRUE	0	Galphai	AluFl
Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=4 SV=1	tr|E9PKG1|E9PKG1_HUMAN (+1)	38	NA	7	Galphai	AluFl
Uncharacterized ABC transporter ATP-binding protein ycjV OS=Escherichia coli GN=ycjV PE=4 SV=1	REVtr|E2QLS7|E2QLS7_ECOLX	40	NA	0	Galphai	AluFl
Drebrin-like protein OS=Homo sapiens GN=DBNL PE=2 SV=1	tr|B4DDD6|B4DDD6_HUMAN (+12)	46	NA	5	Galphai	AluFl
Rho guanine nucleotide exchange factor 6 OS=Homo sapiens GN=ARHGEF6 PE=2 SV=1	tr|B7Z3C7|B7Z3C7_HUMAN (+3)	73	NA	5	Galphai	AluFl
NadH-quinone oxidoreductase subunit G OS=Escherichia coli GN=nuoG PE=4 SV=1	tr|E2QPE4|E2QPE4_ECOLX	100	NA	0	Galphai	AluFl
Zinc finger protein 521 OS=Homo sapiens GN=ZNF521 PE=4 SV=2	tr|H7BYU6|H7BYU6_HUMAN (+2)	140	NA	0	Galphai	AluFl
Striatin-4 OS=Homo sapiens GN=STRN4 PE=4 SV=1	tr|F8VYA6|F8VYA6_HUMAN (+8)	81	TRUE	0	Galphai	AluFl
Lipoyl synthase OS=Escherichia coli GN=lipA PE=3 SV=1	tr|C3TJM2|C3TJM2_ECOLX	36	NA	0	Galphai	AluFl
Protein SET OS=Homo sapiens GN=SET PE=3 SV=1	tr|B2REB8|B2REB8_HUMAN	31	NA	9	Galphai	AluFl
Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=4 SV=1	tr|E7EVA0|E7EVA0_HUMAN (+6)	245	NA	2	Galphai	AluFl
Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=4 SV=1	tr|G8JLG1|G8JLG1_HUMAN (+3)	59	TRUE	0	Galphai	AluFl
Keratin, type I cytoskeletal 40 OS=Homo sapiens GN=KRT40 PE=4 SV=1	tr|G3V1C2|G3V1C2_HUMAN	26	TRUE	0	Galphai	AluFl
60S acidic ribosomal protein P0 (Fragment) OS=Homo sapiens GN=RPLP0 PE=3 SV=1	tr|F8VU65|F8VU65_HUMAN (+9)	27	NA	3	Galphai	AluFl
26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=2 SV=1	tr|B7Z5E2|B7Z5E2_HUMAN	33	NA	7	Galphai	AluFl
Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=4 SV=1	tr|F5H4L7|F5H4L7_HUMAN	37	TRUE	4	Galphai	AluFl
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=3 SV=1	tr|F8VUJ7|F8VUJ7_HUMAN (+3)	47	TRUE	0	Galphai	AluFl
Protein-tyrosine kinase 2-beta OS=Homo sapiens GN=PTK2B PE=4 SV=1	tr|E9PBI4|E9PBI4_HUMAN (+4)	68	NA	2	Galphai	AluFl
EF-hand domain-containing protein 1 OS=Homo sapiens GN=EFHC1 PE=4 SV=1	REVtr|F5GZD8|F5GZD8_HUMAN	72	NA	0	Galphai	AluFl
SKI family transcriptional corepressor 1 OS=Homo sapiens GN=SKOR1 PE=4 SV=1	REVtr|G3V3E1|G3V3E1_HUMAN (+2)	96	NA	0	Galphai	AluFl
