long_id	uniprot	mw	is_grouping	spectral_count	bait	condition	z_score_spectral
Staphylococcus nuclease domain-containing protein OS=Dictyostelium discoideum GN=snd1 PE=4 SV=1	tr|Q54WH0|Q54WH0_DICDI	103	TRUE	21	Gbeta1	Normal	-0.543926310080987
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189117 PE=4 SV=1	tr|Q54FH4|Q54FH4_DICDI	58	TRUE	5	Gbeta1	Normal	-0.158112992161194
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106	NA	7	Gbeta1	Normal	-0.248892596377616
Uricase OS=Dictyostelium discoideum GN=uox PE=3 SV=1	sp|Q54LT2|URIC_DICDI	33	NA	40	Gbeta1	Normal	0.0461411173257556
3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 OS=Dictyostelium discoideum GN=hmgB PE=2 SV=2	sp|P34136|HMDH2_DICDI	56	TRUE	4	Gbeta1	Normal	0.0234462162716501
Probable malate dehydrogenase 1 OS=Dictyostelium discoideum GN=mdhA PE=3 SV=1	sp|Q54GE6|MDHA_DICDI	42	TRUE	17	Gbeta1	Normal	0.182310523650388
Protein transport protein SEC23 OS=Dictyostelium discoideum GN=sec23 PE=3 SV=2	sp|Q54T59|SEC23_DICDI	85	TRUE	7	Gbeta1	Normal	-0.0446384868906664
60S ribosomal protein L28 OS=Dictyostelium discoideum GN=rpl28 PE=2 SV=1	sp|Q9GS21|RL28_DICDI	14	TRUE	22	Gbeta1	Normal	0.341174831029127
40S ribosomal protein S14 OS=Dictyostelium discoideum GN=rps14 PE=3 SV=1	sp|Q54EG3|RS14_DICDI	16	NA	27	Gbeta1	Normal	0.363869732083232
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184035 PE=4 SV=1	tr|Q54E73|Q54E73_DICDI	35	NA	7	Gbeta1	Normal	-0.339672200594038
Putative uncharacterized protein prdx5 OS=Dictyostelium discoideum GN=prdx5 PE=1 SV=1	tr|Q54N76|Q54N76_DICDI	18	NA	20	Gbeta1	Normal	-0.112723190052983
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20	TRUE	25	Gbeta1	Normal	0.431954435245549
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202360 PE=4 SV=1	tr|Q55EJ0|Q55EJ0_DICDI	40	NA	10	Gbeta1	Normal	0.114225820488072
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206474 PE=4 SV=2	tr|Q54VL9|Q54VL9_DICDI	59	NA	5	Gbeta1	Normal	0.114225820488072
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203550 PE=4 SV=1	tr|Q552L7|Q552L7_DICDI	62	NA	4	Gbeta1	Normal	0.000751315217544588
Superoxide dismutase [Cu-Zn] 1 OS=Dictyostelium discoideum GN=sodA PE=2 SV=1	sp|Q55GQ5|SODC1_DICDI	16	NA	27	Gbeta1	Normal	0.27309012786681
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Dictyostelium discoideum GN=sdhA PE=3 SV=1	sp|Q9U3X4|DHSA_DICDI	69	TRUE	10	Gbeta1	Normal	-0.543926310080987
Probable asparagine synthetase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=asns PE=1 SV=1	sp|Q54MB4|ASNS_DICDI	63	NA	7	Gbeta1	Normal	0.0461411173257556
60S ribosomal protein L27 OS=Dictyostelium discoideum GN=rpl27 PE=3 SV=1	sp|Q55BE6|RL27_DICDI	16	NA	18	Gbeta1	Normal	0.318479929975021
Probable flavin-containing monoamine oxidase A OS=Dictyostelium discoideum GN=maoA PE=3 SV=1	sp|Q54IT3|AOFA_DICDI	51	NA	13	Gbeta1	Normal	0.0461411173257556
Cytosol aminopeptidase OS=Dictyostelium discoideum GN=lap PE=3 SV=1	sp|Q5V9F0|AMPL_DICDI	56	NA	7	Gbeta1	Normal	-0.385062002702249
26S proteasome non-ATPase regulatory subunit 12 OS=Dictyostelium discoideum GN=psmD12 PE=2 SV=1	sp|Q54UJ0|PSD12_DICDI	52	TRUE	11	Gbeta1	Normal	0.205005424704494
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18	TRUE	18	Gbeta1	Normal	-0.271587497431721
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17	NA	24	Gbeta1	Normal	0.363869732083232
Mitochondrial outer membrane protein porin OS=Dictyostelium discoideum GN=porA PE=1 SV=1	sp|Q01501|VDAC_DICDI	30	NA	43	Gbeta1	Normal	0.772377951057131
PH domain-containing protein DDB_G0274775 OS=Dictyostelium discoideum GN=DDB_G0274775 PE=4 SV=1	sp|Q86IV4|Y4775_DICDI	51	NA	10	Gbeta1	Normal	-0.0900282889988774
Methylenetetrahydrofolate dehydrogenase [NAD+] OS=Dictyostelium discoideum GN=thfA PE=3 SV=1	sp|Q86KU6|MTD1_DICDI	35	NA	5	Gbeta1	Normal	-0.22619769532351
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188436 PE=3 SV=1	tr|Q54HG8|Q54HG8_DICDI	71	NA	7	Gbeta1	Normal	0.000751315217544588
Eukaryotic translation initiation factor 5A OS=Dictyostelium discoideum GN=eif5a PE=1 SV=2	sp|P13651|IF5A_DICDI	17	NA	20	Gbeta1	Normal	-0.135418091107088
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49	NA	2	Gbeta1	Normal	-1.406332550137
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108	TRUE	8	Gbeta1	Normal	0.000751315217544588
60S ribosomal protein L19 OS=Dictyostelium discoideum GN=rpl19 PE=2 SV=1	sp|P14329|RL19_DICDI	22	TRUE	18	Gbeta1	Normal	0.227700325758599
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32	TRUE	5	Gbeta1	Normal	0.0915309194339665
1,4-alpha-glucan-branching enzyme OS=Dictyostelium discoideum GN=glgB PE=3 SV=1	sp|Q555Q9|GLGB_DICDI	79	TRUE	3	Gbeta1	Normal	-0.0900282889988774
Probable isoleucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=ileS PE=3 SV=1	sp|Q54YD4|SYIC_DICDI	123	NA	13	Gbeta1	Normal	0.114225820488072
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17	NA	21	Gbeta1	Normal	0.136920721542178
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	sp|Q54XC1|5NTC_DICDI	68	NA	6	Gbeta1	Normal	0.0234462162716501
GTP-binding nuclear protein Ran OS=Dictyostelium discoideum GN=ranA PE=1 SV=1	sp|P33519|RAN_DICDI	24	NA	15	Gbeta1	Normal	-0.453146705864565
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204284 PE=4 SV=2	tr|Q54T94|Q54T94_DICDI	57	NA	0	Gbeta1	Normal	-0.248892596377616
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202301 PE=1 SV=1	tr|Q55EX9|Q55EX9_DICDI	34	TRUE	11	Gbeta1	Normal	0.0234462162716501
14-3-3-like protein OS=Dictyostelium discoideum GN=fttB PE=1 SV=2	sp|P54632|1433_DICDI	29	TRUE	43	Gbeta1	Normal	0.386564633137338
Actin-related protein 2 OS=Dictyostelium discoideum GN=arpB PE=1 SV=1	sp|O96621|ARP2_DICDI	44	NA	3	Gbeta1	Normal	-0.362367101648143
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184078 PE=4 SV=1	tr|Q54E45|Q54E45_DICDI	72	NA	9	Gbeta1	Normal	0.114225820488072
Twinfilin OS=Dictyostelium discoideum GN=twfA PE=1 SV=1	sp|Q869T1|TWF_DICDI	38	NA	6	Gbeta1	Normal	0.0915309194339665
Glutathione reductase OS=Dictyostelium discoideum GN=gsr PE=3 SV=2	sp|Q8T137|GSHR_DICDI	50	NA	4	Gbeta1	Normal	-0.0446384868906664
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54	NA	5	Gbeta1	Normal	0.0688360183798611
Calcium-binding protein M OS=Dictyostelium discoideum GN=cbpM PE=1 SV=1	sp|Q54LX0|CBPM_DICDI	21	NA	13	Gbeta1	Normal	0.227700325758599
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194	TRUE	13	Gbeta1	Normal	-1.0205192322172
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65	NA	6	Gbeta1	Normal	0.000751315217544588
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189736 PE=4 SV=1	tr|Q55FM2|Q55FM2_DICDI	72	NA	8	Gbeta1	Normal	-0.0219435858365609
Polyphosphate kinase OS=Dictyostelium discoideum GN=ppkA PE=1 SV=1	sp|Q54BM7|PPK_DICDI	118	TRUE	0	Gbeta1	Normal	-0.203502794269405
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204618 PE=4 SV=1	tr|Q54TK2|Q54TK2_DICDI	46	NA	4	Gbeta1	Normal	0.0915309194339665
Leucyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=leuS PE=3 SV=1	sp|Q54N83|SYLC_DICDI	120	NA	6	Gbeta1	Normal	-0.952434529054886
Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Dictyostelium discoideum GN=pck2 PE=3 SV=1	sp|Q869Z4|PCKGM_DICDI	72	NA	3	Gbeta1	Normal	-0.112723190052983
40S ribosomal protein S24 OS=Dictyostelium discoideum GN=rps24 PE=3 SV=1	sp|Q75K27|RS24_DICDI	14	NA	20	Gbeta1	Normal	0.250395226812705
Stromal cell-derived factor 2-like protein OS=Dictyostelium discoideum GN=DDB_G0284847 PE=3 SV=1	sp|Q54P23|SDF2_DICDI	24	NA	14	Gbeta1	Normal	0.250395226812705
Uridine 5'-monophosphate synthase OS=Dictyostelium discoideum GN=pyr56 PE=1 SV=2	sp|P09556|PYR5_DICDI	53	TRUE	2	Gbeta1	Normal	-0.180807893215299
Cysteine protease OS=Dictyostelium discoideum GN=DDB_0219654 PE=3 SV=1	tr|Q54F16|Q54F16_DICDI	39	TRUE	27	Gbeta1	Normal	0.318479929975021
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272182 PE=4 SV=1	tr|Q75JW5|Q75JW5_DICDI	91	TRUE	4	Gbeta1	Normal	-0.294282398485827
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30	NA	7	Gbeta1	Normal	0.159615622596283
Leukotriene A-4 hydrolase OS=Dictyostelium discoideum GN=lkhA PE=2 SV=2	sp|P52922|LKHA4_DICDI	68	NA	3	Gbeta1	Normal	-0.248892596377616
Probable cytochrome P450 524A1 OS=Dictyostelium discoideum GN=cyp524a1 PE=3 SV=1	sp|Q55EK2|C524A_DICDI	60	TRUE	4	Gbeta1	Normal	-0.0900282889988774
Proteasome subunit alpha type-6 OS=Dictyostelium discoideum GN=psmA6 PE=3 SV=1	sp|Q54XM7|PSA6_DICDI	27	NA	14	Gbeta1	Normal	0.227700325758599
RNaseL inhibitor-like protein OS=Dictyostelium discoideum GN=abcE1 PE=4 SV=1	tr|Q8T8P2|Q8T8P2_DICDI	67	TRUE	6	Gbeta1	Normal	-0.112723190052983
60S ribosomal protein L32 OS=Dictyostelium discoideum GN=rpl32 PE=3 SV=1	sp|Q55AB5|RL32_DICDI	15	NA	17	Gbeta1	Normal	0.318479929975021
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189496 PE=1 SV=1	tr|Q55GC5|Q55GC5_DICDI	19	TRUE	16	Gbeta1	Normal	-0.793570221676148
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	sp|Q23919|PGM1_DICDI	63	NA	4	Gbeta1	Normal	-0.0219435858365609
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290535 PE=3 SV=1	tr|Q54FY2|Q54FY2_DICDI	54	TRUE	2	Gbeta1	Normal	-0.135418091107088
Putative uncharacterized protein sec24l OS=Dictyostelium discoideum GN=sec24l PE=4 SV=2	tr|Q54Z72|Q54Z72_DICDI	128	NA	0	Gbeta1	Normal	-0.112723190052983
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57	NA	5	Gbeta1	Normal	-0.0673333879447719
Prolyl endopeptidase OS=Dictyostelium discoideum GN=prep PE=1 SV=1	sp|Q86AS5|PPCE_DICDI	88	TRUE	5	Gbeta1	Normal	-0.158112992161194
Zinc finger protein ZPR1 homolog OS=Dictyostelium discoideum GN=zpr1 PE=3 SV=1	sp|Q55E13|ZPR1_DICDI	54	NA	0	Gbeta1	Normal	-0.180807893215299
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37	NA	4	Gbeta1	Normal	0.0688360183798611
Mitochondrial-processing peptidase subunit alpha-2 OS=Dictyostelium discoideum GN=mppA2 PE=1 SV=1	sp|Q54F93|MPPA2_DICDI	48	NA	6	Gbeta1	Normal	-0.748180419567937
40S ribosomal protein S17 OS=Dictyostelium discoideum GN=rps17 PE=3 SV=2	sp|P42520|RS17_DICDI	16	NA	14	Gbeta1	Normal	0.0688360183798611
40S ribosomal protein S12 OS=Dictyostelium discoideum GN=rps12 PE=1 SV=1	sp|Q54PX9|RS12_DICDI	15	NA	13	Gbeta1	Normal	0.000751315217544588
Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1	sp|Q86AS6|SYHC_DICDI	54	NA	0	Gbeta1	Normal	-0.0219435858365609
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184335 PE=4 SV=1	tr|Q54DD1|Q54DD1_DICDI	48	NA	8	Gbeta1	Normal	0.136920721542178
Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Dictyostelium discoideum GN=mccb PE=3 SV=2	sp|Q8T2J9|MCCB_DICDI	64	TRUE	0	Gbeta1	Normal	-0.22619769532351
40S ribosomal protein S20 OS=Dictyostelium discoideum GN=rps20 PE=3 SV=1	sp|Q54Y41|RS20_DICDI	14	NA	17	Gbeta1	Normal	0.136920721542178
Ras-related protein Rab-14 OS=Dictyostelium discoideum GN=rab14 PE=1 SV=2	sp|P36410|RAB14_DICDI	23	TRUE	6	Gbeta1	Normal	-0.339672200594038
Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1	sp|Q54XM6|ETFD_DICDI	68	NA	2	Gbeta1	Normal	-0.0219435858365609
Protein CARMIL OS=Dictyostelium discoideum GN=carmil PE=1 SV=1	sp|Q95VZ3|CARML_DICDI	114	TRUE	3	Gbeta1	Normal	-0.158112992161194
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0289265 PE=4 SV=1	tr|Q54HR9|Q54HR9_DICDI	52	NA	6	Gbeta1	Normal	-0.0446384868906664
Aldose reductase B OS=Dictyostelium discoideum GN=alrB PE=3 SV=2	sp|Q54NZ7|ALRB_DICDI	35	NA	3	Gbeta1	Normal	-0.0446384868906664
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	sp|Q54J34|PUR8_DICDI	53	TRUE	6	Gbeta1	Normal	0.0461411173257556
Serine--pyruvate aminotransferase OS=Dictyostelium discoideum GN=agxt PE=3 SV=1	sp|Q54GT6|SPYA_DICDI	45	NA	7	Gbeta1	Normal	-0.180807893215299
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206195 PE=4 SV=1	tr|Q54XR4|Q54XR4_DICDI	26	NA	17	Gbeta1	Normal	0.182310523650388
Putative uncharacterized protein apeh OS=Dictyostelium discoideum GN=apeh PE=4 SV=1	tr|Q54D66|Q54D66_DICDI	87	NA	8	Gbeta1	Normal	-0.112723190052983
Mitochondrial substrate carrier family protein N OS=Dictyostelium discoideum GN=mcfN PE=3 SV=2	sp|Q54BF6|MCFN_DICDI	32	NA	20	Gbeta1	Normal	0.27309012786681
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39	NA	8	Gbeta1	Normal	0.0688360183798611
FK506-binding protein 4 OS=Dictyostelium discoideum GN=fkbp4 PE=1 SV=1	sp|Q54NB6|FKBP4_DICDI	40	NA	12	Gbeta1	Normal	0.182310523650388
60S ribosomal protein L27a OS=Dictyostelium discoideum GN=rpl27a PE=3 SV=1	sp|P48160|RL27A_DICDI	16	TRUE	13	Gbeta1	Normal	0.159615622596283
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36	NA	8	Gbeta1	Normal	0.0461411173257556
Recoverin family protein DDB_G0272130 OS=Dictyostelium discoideum GN=DDB_G0272130 PE=1 SV=1	sp|Q86JE1|Y2130_DICDI	23	NA	19	Gbeta1	Normal	0.431954435245549
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100	NA	5	Gbeta1	Normal	0.0234462162716501
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60	NA	5	Gbeta1	Normal	0.000751315217544588
Conditioned medium factor receptor 1 OS=Dictyostelium discoideum GN=cmfB PE=1 SV=1	sp|Q9U641|CMFB_DICDI	56	NA	3	Gbeta1	Normal	-0.475841606918671
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28	NA	8	Gbeta1	Normal	0.000751315217544588
Protein STIP1 homolog OS=Dictyostelium discoideum GN=sti1 PE=3 SV=1	sp|Q54DA8|STIP1_DICDI	63	TRUE	5	Gbeta1	Normal	-0.475841606918671
Ras-related protein Rab-11A OS=Dictyostelium discoideum GN=rab11A PE=1 SV=1	sp|P36412|RB11A_DICDI	24	NA	19	Gbeta1	Normal	0.27309012786681
Probable 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase OS=Dictyostelium discoideum GN=mfeB PE=2 SV=1	sp|Q54XZ0|MFEB_DICDI	32	NA	3	Gbeta1	Normal	-0.0446384868906664
Heat shock protein DnaJ family protein OS=Dictyostelium discoideum GN=DDB_0204173 PE=4 SV=1	tr|Q54SQ0|Q54SQ0_DICDI	40	TRUE	6	Gbeta1	Normal	0.136920721542178
D-3-phosphoglycerate dehydrogenase OS=Dictyostelium discoideum GN=serA PE=1 SV=1	sp|Q54UH8|SERA_DICDI	45	NA	5	Gbeta1	Normal	-0.135418091107088
Ras-related protein Rab-7A OS=Dictyostelium discoideum GN=rab7A PE=1 SV=1	sp|P36411|RAB7A_DICDI	23	TRUE	19	Gbeta1	Normal	-0.0900282889988774
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32	TRUE	10	Gbeta1	Normal	-0.0900282889988774
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86	NA	2	Gbeta1	Normal	-0.248892596377616
26S protease regulatory subunit S10B OS=Dictyostelium discoideum GN=psmC6 PE=1 SV=1	sp|Q54PJ1|PRS10_DICDI	44	TRUE	9	Gbeta1	Normal	0.0234462162716501
Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum GN=prsA PE=1 SV=1	sp|Q54PA9|PRPSA_DICDI	34	NA	6	Gbeta1	Normal	-0.0219435858365609
40S ribosomal protein S7 OS=Dictyostelium discoideum GN=rps7 PE=3 SV=1	sp|Q54I41|RS7_DICDI	22	TRUE	8	Gbeta1	Normal	-0.112723190052983
Vacuolar protein sorting-associated protein 45 OS=Dictyostelium discoideum GN=vps45 PE=1 SV=1	sp|Q54GE3|VPS45_DICDI	65	NA	0	Gbeta1	Normal	-0.0446384868906664
60S ribosomal protein L23 OS=Dictyostelium discoideum GN=rpl23 PE=3 SV=1	sp|Q54G86|RL23_DICDI	15	NA	15	Gbeta1	Normal	0.250395226812705
40S ribosomal protein S15 OS=Dictyostelium discoideum GN=rps15 PE=3 SV=1	sp|Q54N17|RS15_DICDI	16	TRUE	12	Gbeta1	Normal	0.182310523650388
Galactose-binding domain-containing protein OS=Dictyostelium discoideum GN=DD7-1 PE=2 SV=1	tr|Q58A40|Q58A40_DICDI	29	TRUE	10	Gbeta1	Normal	-0.770875320622042
Hisactophilin-2 OS=Dictyostelium discoideum GN=hatB PE=1 SV=2	sp|P42526|HATB_DICDI	14	NA	7	Gbeta1	Normal	0.136920721542178
Translationally-controlled tumor protein homolog 1 OS=Dictyostelium discoideum GN=DDB_G0282853 PE=3 SV=1	sp|Q54RX6|TCTP1_DICDI	20	TRUE	11	Gbeta1	Normal	0.159615622596283
Methylmalonyl-CoA epimerase, mitochondrial OS=Dictyostelium discoideum GN=mcee PE=3 SV=1	sp|Q553V2|MCEE_DICDI	18	NA	2	Gbeta1	Normal	0.0461411173257556
Uncharacterized abhydrolase domain-containing protein DDB_G0269086 OS=Dictyostelium discoideum GN=DDB_G0269086 PE=1 SV=2	sp|Q55EQ3|Y9086_DICDI	103	NA	16	Gbeta1	Normal	-1.45172235224521
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204282 PE=4 SV=1	tr|Q54T96|Q54T96_DICDI	70	NA	0	Gbeta1	Normal	-0.112723190052983
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40	TRUE	7	Gbeta1	Normal	0.114225820488072
Probable succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial OS=Dictyostelium discoideum GN=oxct1 PE=3 SV=1	sp|Q54JD9|SCOT_DICDI	55	NA	3	Gbeta1	Normal	-0.0446384868906664
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216913 PE=4 SV=1	tr|Q55AN3|Q55AN3_DICDI	52	NA	6	Gbeta1	Normal	-0.0900282889988774
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35	TRUE	12	Gbeta1	Normal	0.0688360183798611
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206556 PE=4 SV=2	tr|Q86KZ6|Q86KZ6_DICDI	36	NA	6	Gbeta1	Normal	-0.339672200594038
Probable methionyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=metS PE=3 SV=1	sp|Q54X95|SYMC_DICDI	83	TRUE	0	Gbeta1	Normal	-0.316977299539932
Peroxiredoxin-like protein DDB_G0282517, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0282517 PE=3 SV=1	sp|Q54SE2|PRDXL_DICDI	27	TRUE	16	Gbeta1	Normal	-0.158112992161194
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201681 PE=4 SV=1	tr|Q55EC2|Q55EC2_DICDI	49	NA	5	Gbeta1	Normal	0.0688360183798611
Actin-17 OS=Dictyostelium discoideum GN=act17 PE=3 SV=1	sp|Q554S6|ACT17_DICDI	42	TRUE	30	Gbeta1	Normal	-1.97370507648963
Sulfate adenylyltransferase OS=Dictyostelium discoideum GN=DDB_G0291029 PE=1 SV=1	tr|Q54F74|Q54F74_DICDI	66	NA	3	Gbeta1	Normal	-0.158112992161194
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34	NA	8	Gbeta1	Normal	0.114225820488072
Probable enoyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=echs1 PE=3 SV=1	sp|Q1ZXF1|ECHM_DICDI	30	NA	4	Gbeta1	Normal	-0.0446384868906664
Glyoxylase B2 OS=Dictyostelium discoideum GN=gloB2 PE=3 SV=1	sp|Q54EJ5|GLOB2_DICDI	33	NA	3	Gbeta1	Normal	-0.112723190052983
Aspartyl aminopeptidase OS=Dictyostelium discoideum GN=dnpep PE=3 SV=1	sp|Q54M70|DNPEP_DICDI	53	NA	0	Gbeta1	Normal	-0.339672200594038
Phosphatidylethanolamine-binding protein PEBP OS=Dictyostelium discoideum GN=DDB_0185683 PE=4 SV=1	tr|Q54QK0|Q54QK0_DICDI	22	NA	16	Gbeta1	Normal	0.182310523650388
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34	NA	9	Gbeta1	Normal	0.0461411173257556
6-phosphofructokinase OS=Dictyostelium discoideum GN=pfkA PE=2 SV=2	sp|P90521|K6PF_DICDI	92	NA	4	Gbeta1	Normal	-0.0446384868906664
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27	NA	15	Gbeta1	Normal	0.205005424704494
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188832 PE=4 SV=1	tr|Q54G88|Q54G88_DICDI	43	TRUE	0	Gbeta1	Normal	0.000751315217544588
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66	TRUE	2	Gbeta1	Normal	-0.0900282889988774
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59	NA	0	Gbeta1	Normal	-0.0900282889988774
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39	TRUE	6	Gbeta1	Normal	-0.271587497431721
Probable importin-5 homolog OS=Dictyostelium discoideum GN=DDB_G0291650 PE=3 SV=1	sp|Q54EW3|IPO5_DICDI	120	TRUE	5	Gbeta1	Normal	-0.0446384868906664
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39	NA	4	Gbeta1	Normal	0.0915309194339665
NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Dictyostelium discoideum GN=ndufv1 PE=2 SV=1	sp|Q54I90|NDUV1_DICDI	53	NA	5	Gbeta1	Normal	-0.0446384868906664
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59	NA	8	Gbeta1	Normal	0.0915309194339665
SET domain-containing protein OS=Dictyostelium discoideum GN=cnrI PE=4 SV=1	tr|Q55D68|Q55D68_DICDI	64	NA	4	Gbeta1	Normal	0.0234462162716501
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203302 PE=4 SV=1	tr|Q555X7|Q555X7_DICDI	41	TRUE	5	Gbeta1	Normal	0.0915309194339665
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77	TRUE	2	Gbeta1	Normal	-0.158112992161194
Phenylalanyl-tRNA synthetase beta chain OS=Dictyostelium discoideum GN=pheSB PE=3 SV=2	sp|Q550D2|SYFB_DICDI	69	NA	2	Gbeta1	Normal	-0.158112992161194
